Tiempo,Temperatura
2.242455129623413086e+02,5.454559921371571818e+01
2.252816867828369141e+02,5.460521638276104284e+01
2.263178734779357910e+02,5.466477583077325875e+01
2.273567438125610352e+02,5.471833005175444953e+01
2.283970587253570557e+02,5.477183764753721107e+01
2.294374141693115234e+02,5.482529867898405485e+01
2.304764587879180908e+02,5.487871320685161436e+01
2.315160622596740723e+02,5.493208129179087962e+01
2.325581512451171875e+02,5.497948064933788004e+01
2.335994834899902344e+02,5.502808615160193284e+01
2.346402354240417480e+02,5.507760336810803636e+01
2.356828012466430664e+02,5.512708237319986182e+01
2.367190196514129639e+02,5.517652321109075331e+01
2.377551820278167725e+02,5.522592592592592098e+01
2.387913422584533691e+02,5.527529056178251210e+01
2.398275294303894043e+02,5.533078031563609755e+01
2.408637101650238037e+02,5.537390577252904933e+01
2.418998734951019287e+02,5.541700217613310997e+01
2.429360616207122803e+02,5.546006955579785824e+01
2.439722447395324707e+02,5.550310794083335253e+01
2.450084002017974854e+02,5.555225920050704502e+01
2.460449512004852295e+02,5.559523555270791917e+01
2.470875320434570312e+02,5.564431599434961839e+01
2.481300845146179199e+02,5.569948642164995789e+01
2.491726016998291016e+02,5.574848678772364252e+01
2.502149231433868408e+02,5.580356724023966564e+01
2.512575845718383789e+02,5.584637471868299485e+01
2.523002545833587646e+02,5.588304397315759786e+01
2.533428843021392822e+02,5.592579811406498180e+01
2.543854618072509766e+02,5.596242169337521233e+01
2.554287049770355225e+02,5.599292526058992792e+01
2.564713308811187744e+02,5.603064526824164915e+01
2.575140249729156494e+02,5.607494181421794366e+01
2.585566720962524414e+02,5.611920868076646940e+01
2.595992474555969238e+02,5.616344589770577045e+01
2.606418409347534180e+02,5.620765349481452233e+01
2.616844577789306641e+02,5.624552216848415753e+01
2.627270860671997070e+02,5.629597994845568820e+01
2.637699568271636963e+02,5.634639915767190388e+01
2.648125519752502441e+02,5.639048436041940704e+01
2.658551659584045410e+02,5.644083136857413763e+01
2.668976957798004150e+02,5.649113993289329727e+01
2.679338810443878174e+02,5.654141009739235102e+01
2.689700915813446045e+02,5.659791818738697344e+01
2.700062584877014160e+02,5.665437779570287091e+01
2.710424299240112305e+02,5.669199063111671677e+01
2.720786731243133545e+02,5.674210763514850697e+01
2.731213042736053467e+02,5.678592869204030080e+01
2.741615746021270752e+02,5.682346635370628007e+01
2.752042419910430908e+02,5.686098257855026361e+01
2.762468290328979492e+02,5.690472443826392634e+01
2.772894535064697266e+02,5.694843717418263651e+01
2.783320639133453369e+02,5.699212081538314578e+01
2.793755333423614502e+02,5.705067929688943451e+01
2.804181358814239502e+02,5.710958530776125031e+01
2.814607369899749756e+02,5.715536628452721146e+01
2.825033245086669922e+02,5.720111683626350896e+01
2.835458936691284180e+02,5.724030740203860290e+01
2.845885014533996582e+02,5.727294916235467070e+01
2.856310758590698242e+02,5.731862161742640183e+01
2.866736586093902588e+02,5.736426375556810342e+01
2.877162570953369141e+02,5.740987560695589309e+01
2.887613382339477539e+02,5.745545720172585646e+01
2.898047630786895752e+02,5.750100856997408982e+01
2.908479166030883789e+02,5.755303030303029743e+01
2.918917605876922607e+02,5.759202074709032360e+01
2.929354841709136963e+02,5.763748161595130171e+01
2.939788308143615723e+02,5.767642411149672199e+01
2.950220937728881836e+02,5.772831306396351181e+01
2.960642795562744141e+02,5.777368370286966837e+01
2.971068122386932373e+02,5.781902432481327736e+01
2.981481215953826904e+02,5.786433495957304984e+01
2.991885774135589600e+02,5.790961563688836122e+01
3.002300074100494385e+02,5.794840382484969155e+01
3.012697243690490723e+02,5.799362894567727267e+01
3.023078246116638184e+02,5.803373248635412551e+01
3.033440365791320801e+02,5.807408142999006628e+01
3.043802177906036377e+02,5.811440754106335049e+01
3.054164149761199951e+02,5.815471083894915694e+01
3.064526143074035645e+02,5.818827950774328883e+01
3.074906377792358398e+02,5.822854103170095641e+01
3.085321803092956543e+02,5.826877979724854839e+01
3.095736417770385742e+02,5.830899582367739242e+01
3.106150343418121338e+02,5.836258185358892092e+01
3.116564414501190186e+02,5.840943653250773338e+01
3.126997354030609131e+02,5.846294695247856765e+01
3.137423787117004395e+02,5.850973554271288180e+01
3.147850112915039062e+02,5.855649333940340995e+01
3.158276023864746094e+02,5.860322037293995834e+01
3.168702692985534668e+02,5.865658506674446215e+01
3.179129054546356201e+02,5.869658227191045796e+01
3.189558169841766357e+02,5.872989606140432528e+01
3.199984056949615479e+02,5.877650909719734784e+01
3.210410106182098389e+02,5.880978537380522653e+01
3.220835888385772705e+02,5.884304603874217321e+01
3.231261854171752930e+02,5.887629110299199908e+01
3.241687662601470947e+02,5.891616460263479382e+01
3.252113614082336426e+02,5.895601567203213023e+01
3.262539129257202148e+02,5.900256114034926469e+01
3.272964963912963867e+02,5.906420314294791751e+01
3.283391096591949463e+02,5.912579319274202305e+01
3.293817102909088135e+02,5.915998746249943707e+01
3.304242842197418213e+02,5.919416572894812845e+01
3.314668524265289307e+02,5.922149682727304310e+01
3.325030605792999268e+02,5.924881769641494600e+01
3.335392432212829590e+02,5.928295440680033579e+01
3.345754215717315674e+02,5.932389738919000166e+01
3.356116282939910889e+02,5.935799899592067419e+01
3.366478552818298340e+02,5.939889988641235163e+01
3.376904652118682861e+02,5.943977784504000539e+01
3.387330541610717773e+02,5.948063289108399232e+01
3.397756595611572266e+02,5.952146504380309722e+01
3.408182792663574219e+02,5.956227432243450437e+01
3.418608565330505371e+02,5.959626459522968389e+01
3.428970279693603516e+02,5.963023900769506724e+01
3.439332234859466553e+02,5.966419757092903353e+01
3.449694354534149170e+02,5.969814029601960925e+01
3.460055980682373047e+02,5.973885067537569427e+01
3.470418252944946289e+02,5.977275859552975135e+01
3.480844469070434570e+02,5.979987355315630282e+01
3.491270301342010498e+02,5.983375303634702647e+01
3.501696634292602539e+02,5.988115780008262590e+01
3.512122979164123535e+02,5.990823235923021883e+01
3.522549192905426025e+02,5.994206137607268658e+01
3.532976171970367432e+02,5.996911325073927657e+01
3.543402242660522461e+02,5.998263541040540048e+01
3.553828406333923340e+02,6.000304638115306233e+01
3.564254724979400635e+02,6.002424073204471711e+01
3.574681432247161865e+02,6.004542916603217861e+01
3.585108132362365723e+02,6.007367121155732548e+01
3.595534293651580811e+02,6.010895899133655007e+01
3.605960929393768311e+02,6.014423036277401735e+01
3.616387681961059570e+02,6.017948533731156147e+01
3.626814270019531250e+02,6.022176967894307609e+01
3.637240703105926514e+02,6.027107161561723814e+01
3.647667391300201416e+02,6.031330490225055740e+01
3.658094534873962402e+02,6.036254732869860362e+01
3.668526086807250977e+02,6.041175775579785778e+01
3.678962438106536865e+02,6.046795910103259786e+01
3.689396841526031494e+02,6.051008273663435943e+01
3.699830420017242432e+02,6.056621112356992143e+01
3.710264682769775391e+02,6.061528931366228079e+01
3.720692298412322998e+02,6.066433566433565971e+01
3.731128172874450684e+02,6.072734852344838430e+01
3.741565270423889160e+02,6.076932791681576163e+01
3.751971917152404785e+02,6.082526416785547951e+01
3.762379446029663086e+02,6.086718917622707181e+01
3.772803640365600586e+02,6.091607226969921385e+01
3.783188891410827637e+02,6.095794687229336972e+01
3.793577201366424561e+02,6.100709365072026458e+01
3.803957288265228271e+02,6.105090957113144157e+01
3.814344627857208252e+02,6.109470119548211642e+01
3.824734604358673096e+02,6.114576074332171629e+01
3.835114872455596924e+02,6.119678728106342902e+01
3.845499992370605469e+02,6.125506294471811231e+01
3.855890946388244629e+02,6.130601885424219688e+01
3.866302156448364258e+02,6.135694185410473978e+01
3.876706194877624512e+02,6.140783197617729883e+01
3.887096521854400635e+02,6.145868925229027724e+01
3.897522547245025635e+02,6.151677167479738984e+01
3.907936360836029053e+02,6.156755867370443980e+01
3.918349590301513672e+02,6.161106432256026721e+01
3.928776502609252930e+02,6.166903446461457605e+01
3.939202384948730469e+02,6.171248405465472331e+01
3.949628562927246094e+02,6.176314492115347576e+01
3.960054628849029541e+02,6.182100310801841658e+01
3.970481467247009277e+02,6.187159410389132574e+01
3.980907905101776123e+02,6.192215254292936777e+01
3.991334147453308105e+02,6.196546245905189920e+01
4.001759827136993408e+02,6.201655164903970530e+01
4.012174270153045654e+02,6.206141201364862070e+01
4.022599625587463379e+02,6.211371786827459118e+01
4.033025951385498047e+02,6.215852470637434379e+01
4.043452641963958740e+02,6.220330687223725619e+01
4.053879101276397705e+02,6.224060651164054292e+01
4.064305291175842285e+02,6.228534349796503022e+01
4.074732244014739990e+02,6.232260551624116118e+01
4.085158987045288086e+02,6.236729739136339390e+01
4.095585436820983887e+02,6.240452184540176717e+01
4.106012558937072754e+02,6.244172924356200127e+01
4.116438989639282227e+02,6.248635562409553756e+01
4.126865520477294922e+02,6.252352554056162859e+01
4.137299754619598389e+02,6.256810697704388957e+01
4.147725737094879150e+02,6.261266392720072105e+01
4.158151688575744629e+02,6.264235496708496242e+01
4.168577725887298584e+02,6.268687115150652289e+01
4.179003479480743408e+02,6.273136290333509635e+01
4.189429383277893066e+02,6.276842071391433819e+01
4.199856851100921631e+02,6.280546158300570170e+01
4.210283012390136719e+02,6.283508208821308472e+01
4.220709154605865479e+02,6.287209249188867943e+01
4.231134860515594482e+02,6.290908598657136253e+01
4.241560559272766113e+02,6.293127397188426642e+01
4.251922192573547363e+02,6.295345587663117470e+01
4.262283971309661865e+02,6.297563170331129356e+01
4.272645604610443115e+02,6.299780145442245782e+01
4.283007225990295410e+02,6.302877254228604897e+01
4.293369259834289551e+02,6.305984648909607415e+01
4.303794929981231689e+02,6.309867296943461668e+01
4.314220445156097412e+02,6.313748173534649766e+01
4.324646174907684326e+02,6.318402888846238596e+01
4.335071735382080078e+02,6.322279872528401512e+01
4.345497219562530518e+02,6.325380186767137758e+01
4.355922784805297852e+02,6.328479370381179336e+01
4.366348237991333008e+02,6.330803016491257296e+01
4.376783797740936279e+02,6.334674348208182693e+01
4.387214474678039551e+02,6.337770143656516098e+01
4.397642090320587158e+02,6.341638301572709935e+01
4.408068068027496338e+02,6.346277765949896121e+01
4.418494217395782471e+02,6.350142050073758782e+01
4.428856363296508789e+02,6.354776869391588434e+01
4.439218177795410156e+02,6.358637285539359851e+01
4.449580814838409424e+02,6.363267466770332703e+01
4.459952540397644043e+02,6.367895121069580000e+01
4.470341734886169434e+02,6.371749570849284083e+01
4.480703997611999512e+02,6.374831869044715660e+01
